127.0.0.1 - - [24/Sep/2021:10:23:18 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:23:20 +0700] "GET /DuAnNhaTruong/views/loginForm.jsp HTTP/1.1" 200 2020
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:23:20 +0700] "GET /DuAnNhaTruong/views/assets/base.css HTTP/1.1" 200 1099
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:23:20 +0700] "GET /DuAnNhaTruong/views/assets/grid.css HTTP/1.1" 200 9350
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:23:20 +0700] "GET /DuAnNhaTruong/views/assets/login.css HTTP/1.1" 200 1573
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:23:20 +0700] "GET /DuAnNhaTruong/views/image/Poly.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:23:20 +0700] "GET /DuAnNhaTruong/views/image/google.png HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:23:41 +0700] "GET /DuAnNhaTruong/views/loginForm.jsp HTTP/1.1" 200 2020
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:23:41 +0700] "GET /DuAnNhaTruong/views/assets/base.css HTTP/1.1" 200 1099
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:23:41 +0700] "GET /DuAnNhaTruong/views/assets/grid.css HTTP/1.1" 200 9350
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:23:41 +0700] "GET /DuAnNhaTruong/views/assets/login.css HTTP/1.1" 200 1573
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:23:41 +0700] "GET /DuAnNhaTruong/views/image/google.png HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:23:41 +0700] "GET /DuAnNhaTruong/views/image/Poly.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:23:42 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:25:28 +0700] "GET /DuAnNhaTruong/views/HomeForm.jsp HTTP/1.1" 200 6791
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:25:28 +0700] "GET /DuAnNhaTruong/views/assets/home.css HTTP/1.1" 200 3311
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:25:28 +0700] "GET /DuAnNhaTruong/views/assets/fontawesome-free-5.15.3-web/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:25:28 +0700] "GET /DuAnNhaTruong/views/assets/image/Poly.png HTTP/1.1" 200 16798
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:25:28 +0700] "GET /DuAnNhaTruong/views/assets/image/user.png HTTP/1.1" 200 2802
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:25:28 +0700] "GET /DuAnNhaTruong/views/assets/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:25:28 +0700] "GET /DuAnNhaTruong/views/assets/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:25:30 +0700] "GET /DuAnNhaTruong/views/assets/fontawesome-free-5.15.3-web/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:28:42 +0700] "GET /DuAnNhaTruong/views/HomeForm.jsp HTTP/1.1" 200 6686
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:28:42 +0700] "GET /DuAnNhaTruong/views/assets/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:28:42 +0700] "GET /DuAnNhaTruong/views/assets/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:28:42 +0700] "GET /DuAnNhaTruong/views/assets/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:28:42 +0700] "GET /DuAnNhaTruong/views/assets/fontawesome-free-5.15.3-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:28:42 +0700] "GET /DuAnNhaTruong/views/assets/image/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:28:42 +0700] "GET /DuAnNhaTruong/views/assets/image/Poly.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:28:42 +0700] "GET /DuAnNhaTruong/views/assets/fontawesome-free-5.15.3-web/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:30:58 +0700] "GET /DuAnNhaTruong/views/formLichThi.jsp HTTP/1.1" 200 5294
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:30:58 +0700] "GET /DuAnNhaTruong/views/assets/lichThi.css HTTP/1.1" 200 2060
